ID,PRDS1,PRDS2,PRDS3,PRDS4,PRDS5,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,SCS1_PC,SCS2_PC,SCS3_PM,SCS4_PC,SCS5_PM,SCS6_PM,SCS7_PC,SCS8_PM,SCS9_PC,SCS10_PC,SCS11_PC,SCS12_PC,BPAQ1,BPAQ2,BPAQ3,BPAQ4,BPAQ5,BPAQ6,BPAQ7,BPAQ8,BPAQ9,BPAQ10,BPAQ11,BPAQ12,Income,Gender,Age,PC,PM,DASS,PRDS,BPAQ
23,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,5,1,6,5,2,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,66,2.125,5.5,1.142857143,1,1.083333333
24,6,5,6,5,6,3,3,3,1,4,4,1,4,4,3,4,4,4,4,2,3,3,4,1,2,2,6,7,3,6,3,3,7,3,7,7,7,7,1,1,4,5,4,4,5,5,5,5,5,5,4,1,30,6.75,3,3,5.6,4.083333333
25,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,3,1,2,1,3,2,5,1,6,6,2,5,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,2,17,2,42,2.125,5.5,1.380952381,1.4,1.166666667
26,1,2,2,2,5,3,2,2,1,2,2,1,1,1,1,2,2,3,2,1,2,1,1,1,1,2,5,3,3,4,4,6,6,2,3,7,5,5,1,1,1,4,1,4,1,1,1,3,4,4,8,2,42,4.75,3.75,1.619047619,2.4,2.166666667
27,2,2,3,3,2,2,2,3,2,2,3,1,2,2,1,2,2,3,3,3,2,3,2,2,2,3,5,6,5,4,6,5,4,5,6,6,5,5,1,2,1,3,2,2,1,2,2,3,4,3,9,2,31,5.125,5.25,2.238095238,2.4,2.166666667
28,3,3,3,3,3,3,3,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,3,3,5,3,6,6,5,6,2,3,2,2,4,4,3,4,4,2,4,1,2,4,4,1,17,2,51,2.875,5.75,1.619047619,3,3.083333333
29,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,3,6,3,5,5,2,5,3,2,1,2,1,1,1,4,1,3,5,5,4,1,1,1,4,2,41,2.25,5.25,1.428571429,1.4,2.333333333
30,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,1,7,7,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,57,1.375,7,1,1.8,1
31,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,1,6,6,2,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,33,1.625,6.25,1,2,1
32,1,2,4,1,2,2,1,1,1,3,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,5,6,5,6,6,5,6,6,6,5,5,6,1,1,1,4,4,1,4,1,1,2,1,1,8,2,29,5.625,5.5,1.619047619,2,1.833333333
33,4,4,4,2,4,3,3,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,1,2,5,6,3,6,4,5,4,4,5,5,5,1,1,1,2,1,1,1,1,1,3,4,3,13,1,35,4.25,5,1.619047619,3.6,1.666666667
34,2,4,3,4,2,3,1,2,1,2,2,2,2,3,4,2,3,3,2,2,3,3,2,1,3,4,5,6,4,5,6,5,6,5,4,6,6,6,1,1,1,2,1,1,1,2,2,4,4,4,2,1,49,5.5,5,2.380952381,3,2
35,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,1,3,3,4,3,5,5,4,5,4,3,3,3,1,2,1,2,2,1,2,1,1,2,1,1,13,2,58,3.25,4.75,1.666666667,2,1.416666667
36,1,3,1,4,4,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,5,1,6,6,5,5,2,3,2,3,1,2,1,2,1,1,1,1,1,1,2,1,16,2,26,2.5,5.5,1.285714286,2.6,1.25
37,3,3,4,4,4,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,6,3,5,3,6,5,4,5,3,5,5,4,2,1,1,2,2,2,2,2,2,3,2,3,7,2,24,4.125,5.25,1.428571429,3.6,2
38,4,4,3,4,4,4,4,2,1,2,4,1,1,3,1,1,3,2,1,3,1,1,1,1,1,1,5,5,3,4,4,4,5,3,5,5,5,5,1,1,1,3,2,2,3,1,2,4,4,2,9,2,53,4.875,3.5,1.857142857,3.8,2.166666667
39,2,3,1,1,2,3,1,2,3,3,3,1,2,2,2,3,3,3,2,2,2,2,3,1,1,2,2,5,6,1,6,6,5,6,2,3,5,2,4,4,2,4,2,2,4,2,2,4,2,4,3,1,39,3.125,6,2.19047619,1.8,3
40,2,2,2,2,3,2,1,3,1,2,3,2,2,2,3,3,2,3,2,4,3,4,4,1,3,4,5,5,3,4,5,3,4,5,4,5,3,4,1,2,1,2,2,1,1,2,3,3,2,5,8,2,52,4.25,4,2.571428571,2.2,2.083333333
41,2,2,4,3,3,4,1,1,2,3,3,4,4,4,2,2,3,3,1,2,2,2,2,2,3,1,1,1,7,1,6,7,2,6,1,2,1,1,2,4,2,5,4,4,4,5,5,3,3,2,18,2,26,1.25,6.5,2.428571429,2.8,3.583333333
42,2,3,4,4,3,3,1,2,1,2,2,3,3,3,2,2,2,2,1,1,1,2,2,2,2,2,3,5,4,4,5,5,3,3,3,4,4,4,1,1,1,3,1,1,1,1,1,1,1,1,5,2,36,3.75,4.25,1.952380952,3.2,1.166666667
43,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,6,1,6,5,2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,45,1.375,5.75,1.238095238,1.2,1
44,1,6,3,3,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,4,6,4,2,4,5,2,3,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,9,2,33,3.625,4,1.333333333,3,1
45,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,2,5,3,3,5,4,5,5,3,4,5,1,1,1,1,1,1,1,1,1,1,1,3,9,2,32,3.75,4.5,1.142857143,1.8,1.166666667
