ID,PRDS1,PRDS2,PRDS3,PRDS4,PRDS5,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,SCS1_PC,SCS2_PC,SCS3_PM,SCS4_PC,SCS5_PM,SCS6_PM,SCS7_PC,SCS8_PM,SCS9_PC,SCS10_PC,SCS11_PC,SCS12_PC,BPAQ1,BPAQ2,BPAQ3,BPAQ4,BPAQ5,BPAQ6,BPAQ7,BPAQ8,BPAQ9,BPAQ10,BPAQ11,BPAQ12,Income,Gender,Age,PC,PM,DASS,PRDS,BPAQ
97,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,4,2,7,5,4,5,2,2,2,4,2,1,1,3,3,3,1,1,1,2,3,1,13,2,43,2.375,5.25,1.142857143,2,1.833333333
98,3,5,2,4,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,5,1,6,5,3,6,3,3,3,2,1,1,1,2,2,2,2,1,1,2,3,2,4,1,41,2.375,5.5,1.285714286,3.2,1.666666667
99,2,3,3,3,4,2,1,2,1,3,2,1,2,2,2,3,2,2,2,3,2,2,2,1,2,1,3,5,4,3,5,5,3,4,3,3,5,3,1,1,2,2,2,1,3,2,2,2,2,2,16,1,39,3.5,4.5,1.904761905,3,1.833333333
100,4,4,4,4,4,3,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,6,2,5,5,5,5,2,3,5,4,1,1,1,3,3,1,2,1,1,3,4,3,6,2,56,3,5.25,1.476190476,4,2
101,3,4,4,4,3,2,4,2,1,2,2,3,2,3,1,1,1,1,1,1,1,1,2,1,1,1,4,3,7,4,6,4,4,4,3,4,2,2,3,3,1,3,3,3,3,3,1,2,3,1,16,1,22,3.25,5.25,1.619047619,3.6,2.416666667
102,4,4,5,4,5,3,2,2,1,2,3,1,2,3,2,2,2,2,2,1,2,2,2,1,2,2,5,6,5,5,5,5,6,5,5,3,5,5,1,1,1,3,1,1,1,1,1,4,4,5,8,1,28,5,5,1.952380952,4.4,2
103,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,4,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,10,2,40,4.25,4.75,2,3.2,1
104,2,3,4,3,5,2,4,1,2,3,1,1,1,1,2,3,3,2,1,1,2,1,1,1,1,2,3,6,5,2,6,5,2,6,1,2,1,1,NA,1,1,3,2,4,2,1,1,1,1,2,10,1,25,2.25,5.5,1.714285714,3.4,1.727272727
105,2,2,4,3,2,2,2,1,1,3,2,1,3,2,1,3,4,2,2,1,2,1,2,2,1,1,6,5,3,2,6,4,5,5,6,4,6,3,2,4,2,4,4,3,2,2,2,1,2,2,11,1,36,4.625,4.5,1.857142857,2.6,2.5
106,5,4,5,4,5,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,3,3,3,3,5,5,6,5,3,4,3,5,4,5,3,5,3,2,4,2,2,2,4,3,22,1,64,3.75,4.5,1.380952381,4.6,3.25
107,5,5,2,5,5,4,1,3,1,4,4,2,3,4,3,3,4,4,3,2,3,2,3,2,2,2,5,6,3,4,4,3,4,4,4,4,5,5,4,4,5,4,5,4,2,5,5,4,4,5,9,1,46,4.625,3.5,2.80952381,4.4,4.25
108,2,3,2,3,2,2,4,1,2,2,2,3,3,3,2,2,2,2,1,3,1,2,3,2,3,2,3,5,5,2,6,5,5,5,3,3,4,2,3,1,1,2,3,2,2,2,2,2,2,2,3,2,23,3.375,5.25,2.238095238,2.4,2
109,4,4,5,4,5,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,5,6,4,5,5,5,4,5,4,5,5,5,1,1,1,2,1,1,1,1,1,3,4,3,8,1,42,4.875,4.75,1.238095238,4.4,1.666666667
110,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,6,5,1,7,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,17,2,35,1.375,5.25,1.047619048,1.4,1.166666667
111,3,2,4,2,5,3,1,2,3,2,3,2,2,3,2,2,2,3,3,2,2,3,2,1,2,1,5,5,3,3,6,3,5,3,5,5,5,5,3,3,2,2,2,3,4,2,2,2,4,2,17,2,29,4.75,3.75,2.19047619,3.2,2.583333333
112,3,3,2,2,2,2,1,2,1,3,2,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,6,5,2,1,6,5,3,5,2,4,1,1,1,1,1,2,2,1,2,2,1,1,3,1,8,2,52,2.875,4.5,1.476190476,2.4,1.5
113,2,4,3,4,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,4,4,5,3,3,4,3,4,3,3,2,2,3,3,2,3,2,2,2,2,2,2,2,2,5,1,32,3,4,1.142857143,3.2,2.25
114,5,5,4,4,4,3,4,2,3,3,3,3,3,4,3,3,3,4,4,2,3,3,4,3,3,3,5,6,4,5,5,3,6,4,2,6,6,5,3,4,2,3,2,2,2,4,4,4,4,5,9,1,34,5.125,4,3.142857143,4.4,3.25
115,2,3,1,3,3,3,3,4,4,4,3,2,3,3,3,4,4,4,3,4,3,4,3,4,3,3,5,6,4,5,4,5,7,2,3,5,6,5,1,1,1,4,5,3,2,1,1,2,4,4,5,2,33,5.25,3.75,3.380952381,2.4,2.416666667
116,2,2,2,2,2,2,1,2,3,2,1,2,1,1,2,1,3,3,1,3,2,1,2,3,1,1,3,2,5,3,5,6,5,5,2,2,5,5,1,2,1,2,1,2,2,1,1,3,4,1,13,2,62,3.375,5.25,1.80952381,2,1.75
117,2,3,3,2,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,6,3,6,6,5,6,3,4,5,4,4,4,3,3,3,3,2,3,4,3,4,4,23,2,30,4,6,1.19047619,2.6,3.333333333
118,2,2,3,2,2,3,1,2,1,2,3,1,2,1,2,2,2,2,2,2,2,1,3,1,2,2,3,5,6,2,5,6,5,6,3,4,5,3,1,1,1,4,4,4,4,4,2,1,4,2,14,2,36,3.75,5.75,1.857142857,2.2,2.666666667
119,5,2,6,1,5,4,3,3,4,3,4,1,2,2,3,3,4,3,1,2,2,2,1,4,3,1,5,4,5,3,6,4,6,2,3,7,4,5,1,2,1,3,3,2,3,4,2,1,4,4,7,2,53,4.625,4.25,2.619047619,3.8,2.5
120,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,7,1,7,7,3,6,1,3,2,1,1,1,1,4,3,3,3,2,1,1,1,1,21,2,31,1.75,6.75,1.238095238,1.8,1.833333333
121,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,6,2,6,6,5,6,2,2,2,2,1,1,1,4,3,2,4,2,4,2,2,2,16,1,53,2.25,6,1.047619048,2,2.333333333
122,1,1,1,1,1,1,1,1,2,2,3,2,1,3,1,2,3,1,1,3,1,1,2,4,1,1,2,4,3,1,5,4,5,5,3,5,1,3,1,1,1,4,3,4,5,3,4,2,4,5,16,2,43,3,4.25,1.761904762,1,3.083333333
123,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,1,6,7,5,6,2,5,2,2,2,1,3,1,1,2,2,1,1,1,3,1,20,1,34,2.5,6.5,1.047619048,1.2,1.583333333
124,2,2,1,3,2,3,4,1,2,1,1,1,2,2,1,2,3,2,2,2,1,1,2,3,1,1,2,3,6,2,5,6,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,16,2,42,3,5,1.80952381,2,1
125,1,2,2,2,1,1,2,1,1,2,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,3,2,5,2,6,5,2,6,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,12,1,32,1.875,5.5,1.285714286,1.6,1.083333333
126,2,3,1,5,1,3,1,2,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,5,2,3,2,6,5,2,6,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,1,2,1,54,2.375,5,1.380952381,2.4,1.25
127,1,4,2,3,1,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,3,1,1,2,2,6,1,6,6,3,6,2,2,1,3,5,5,5,5,1,4,3,1,1,2,4,4,17,1,59,2,6,1.380952381,2.2,3.333333333
128,3,4,4,3,4,4,1,2,1,2,1,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,3,7,3,5,5,5,7,4,5,5,5,5,1,1,1,2,1,1,1,1,1,2,2,2,7,2,36,5.25,4.25,1.476190476,3.6,1.333333333
129,3,4,2,4,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,3,5,5,5,5,3,3,5,3,1,1,1,3,3,2,2,1,2,2,2,1,10,1,38,3.375,4.5,1.095238095,3.2,1.75
130,4,3,5,3,3,2,1,2,1,4,3,1,1,2,2,2,2,2,1,1,1,3,3,1,2,2,5,5,6,2,7,6,3,5,3,5,5,3,4,4,3,4,2,4,5,3,3,3,4,2,1,2,22,3.875,6,1.857142857,3.6,3.416666667
131,3,2,2,2,3,3,3,2,1,4,3,2,4,4,1,2,3,4,3,3,2,3,3,1,2,1,5,6,3,5,6,3,6,5,5,6,6,6,2,1,1,2,1,1,1,1,1,4,3,3,16,2,36,5.625,4.25,2.571428571,2.4,1.75
132,4,4,3,3,5,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,5,6,5,5,5,6,5,6,3,7,3,2,1,2,4,1,1,4,2,2,4,4,3,5,1,32,4.625,5.25,1.428571429,3.8,2.5
133,2,4,2,4,1,3,1,2,1,1,2,2,3,1,3,2,2,2,1,2,2,2,2,1,1,1,4,5,4,2,3,6,5,3,6,6,5,5,1,1,1,2,1,1,2,1,1,3,3,1,3,2,63,4.75,4,1.761904762,2.6,1.5
134,3,4,3,3,3,4,1,3,1,2,1,1,1,1,2,1,4,2,2,1,2,2,1,1,1,2,6,5,6,2,7,6,5,6,3,6,6,5,1,1,1,4,1,1,1,1,1,2,3,1,6,2,54,4.75,6.25,1.714285714,3.2,1.5
135,3,3,4,4,4,3,1,2,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,3,5,5,3,6,5,5,5,3,5,3,3,1,2,1,1,1,1,1,1,1,1,1,1,5,2,33,3.75,5.25,1.952380952,3.6,1.083333333
136,5,2,3,2,4,3,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,5,5,6,3,5,5,5,4,3,5,3,5,2,2,1,3,3,2,2,1,2,3,2,2,10,1,39,4.25,5,1.571428571,3.2,2.083333333
137,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,3,5,5,2,5,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,11,2,40,3.25,5,1,3,1
138,3,2,4,3,3,3,1,1,1,3,2,1,3,2,1,2,3,1,3,1,1,1,3,3,2,1,2,2,5,3,5,6,6,3,5,5,5,3,1,1,1,3,1,1,1,2,2,4,3,3,12,2,44,3.875,4.75,1.857142857,3,1.916666667
139,2,3,4,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,2,2,1,2,4,4,5,3,7,5,5,4,3,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,11,2,28,3.875,5.25,2.047619048,3,1
140,3,3,3,3,3,2,1,2,1,3,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,3,5,2,6,5,5,5,2,4,5,3,4,4,3,4,3,4,3,4,3,4,4,3,10,1,46,3.25,5.25,1.571428571,3,3.583333333
141,2,2,4,3,4,4,3,2,2,3,2,2,3,3,2,2,4,2,1,2,2,2,2,3,3,1,3,2,6,1,7,6,5,5,2,5,1,1,2,4,4,2,4,5,4,2,4,3,1,1,3,2,26,2.5,6,2.380952381,3,3
142,2,3,1,2,2,2,3,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,2,3,1,2,7,6,5,5,5,6,5,5,5,7,6,5,1,1,1,2,2,1,1,1,1,2,4,3,6,2,62,5.75,5.25,1.952380952,2,1.666666667
143,2,3,3,4,3,2,2,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,1,1,7,2,6,6,4,6,2,2,2,2,3,1,1,3,3,2,4,3,4,2,2,3,9,2,34,2,6.25,1.380952381,3,2.583333333
144,1,6,1,4,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,3,5,5,1,7,6,2,6,2,5,1,2,1,1,1,4,4,3,4,2,2,1,3,2,7,1,42,2.625,6,1.333333333,2.6,2.333333333
145,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,6,6,4,7,7,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,51,4.125,5.5,1.142857143,1.8,1.166666667
146,2,3,1,3,1,4,1,3,2,3,3,2,4,4,4,3,4,3,4,3,3,4,2,3,4,3,7,7,1,7,1,1,7,1,7,6,5,7,1,1,1,2,4,4,3,2,3,5,5,3,2,2,54,6.625,1,3.142857143,2,2.833333333
147,3,4,3,4,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,50,1,1,1.047619048,3.4,1
148,2,2,3,2,3,3,3,3,1,2,2,1,2,3,2,2,2,3,2,1,2,2,1,1,1,2,3,5,5,3,5,5,5,5,3,3,5,5,2,2,1,2,2,2,2,3,2,4,4,4,16,1,37,4,5,1.952380952,2.4,2.5
149,3,3,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,6,1,7,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,9,1,29,1,6.75,1.047619048,2.6,1.25
150,5,4,5,4,5,4,2,2,1,2,3,2,2,3,2,2,3,3,2,2,2,2,3,1,2,2,5,5,3,5,4,3,6,3,5,3,3,3,2,2,1,3,2,3,3,3,4,4,4,4,13,2,42,4.375,3.25,2.238095238,4.6,2.916666667
151,5,5,6,5,5,3,1,2,1,3,3,1,1,2,2,2,2,2,2,1,2,3,3,1,1,2,5,5,3,5,4,3,5,3,5,5,3,5,1,1,2,4,4,5,5,5,4,4,4,4,12,2,39,4.75,3.25,1.904761905,5.2,3.583333333
152,4,2,5,4,5,1,2,2,1,2,1,2,2,3,2,1,1,1,2,2,1,2,3,1,1,1,5,3,6,5,3,5,3,4,2,5,3,2,4,5,3,2,3,3,4,4,3,2,3,4,13,2,24,3.5,4.5,1.619047619,4,3.333333333
153,4,6,1,6,5,2,1,1,2,1,1,1,2,1,1,3,2,1,2,1,1,1,2,1,1,1,1,1,7,1,7,7,5,7,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,2,38,1.5,7,1.380952381,4.4,1.416666667
154,5,4,5,5,5,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,5,4,4,5,5,5,5,4,4,6,4,3,4,3,3,3,3,4,2,2,4,4,4,2,2,43,4.5,4.75,1.80952381,4.8,3.25
155,2,2,2,2,3,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,6,2,6,5,3,6,2,2,2,2,1,1,1,2,3,2,4,1,1,1,2,3,20,2,39,2.125,5.75,1.619047619,2.2,1.833333333
156,2,2,2,3,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,4,5,5,5,5,5,2,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,18,2,35,3.25,4.75,1.333333333,2.2,1.75
157,1,6,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,6,3,5,6,5,5,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,11,1,42,2.25,5.5,1.095238095,2.4,1.5
158,5,5,1,6,5,3,1,3,1,3,2,1,1,2,2,2,3,3,2,1,3,2,2,1,2,2,2,5,2,5,6,3,3,6,2,3,6,2,1,1,1,2,2,2,2,1,1,2,3,2,15,1,49,3.5,4.25,2,4.4,1.666666667
159,2,3,2,5,3,2,2,1,1,2,1,1,1,1,1,2,3,2,2,1,1,1,2,2,1,1,2,5,3,5,5,5,5,3,3,3,2,4,2,1,1,3,2,3,2,4,3,3,1,1,2,2,62,3.625,4,1.476190476,3,2.166666667
160,1,2,2,1,1,3,3,4,3,3,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,2,6,7,7,4,2,7,7,6,4,2,1,2,1,1,1,2,2,4,3,2,17,1,44,5,5.25,3.619047619,1.4,2.083333333
161,5,3,5,3,5,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,3,3,3,3,3,4,5,6,6,2,2,3,4,5,6,4,3,2,3,4,3,3,3,3,4,4,4,13,1,32,3.875,4.5,2.761904762,4.2,3.333333333
162,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,7,5,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,62,1.125,5.75,1,1.8,1.083333333
163,2,3,2,3,2,3,1,1,1,2,2,1,1,1,2,1,3,1,1,1,2,1,2,1,1,1,4,4,5,3,4,5,4,4,4,3,4,4,3,3,2,3,2,2,2,2,2,2,3,2,8,1,70,3.75,4.5,1.428571429,2.4,2.333333333
164,2,2,2,2,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,3,6,6,4,5,5,5,4,3,1,1,1,3,2,1,1,1,1,1,3,2,18,2,56,4.125,5.75,1.095238095,2.2,1.5
165,2,2,4,1,2,2,1,2,1,3,1,1,1,1,2,2,2,2,1,1,2,1,2,3,1,1,2,2,5,3,5,5,3,5,3,6,2,6,1,1,1,2,2,1,1,1,1,1,1,1,17,1,36,3.375,5,1.571428571,2.2,1.166666667
166,4,4,4,4,4,3,3,4,2,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,5,3,4,3,4,7,3,5,5,6,5,2,1,1,2,1,1,2,2,1,3,4,3,10,1,37,5,3.25,3.19047619,4,1.916666667
167,2,3,4,3,3,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,5,2,6,3,3,5,3,3,1,1,1,1,1,2,2,1,4,2,2,2,2,1,7,1,26,2.125,4.75,1.19047619,3,1.75
168,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,3,6,1,1,1,1,1,2,1,3,2,2,1,1,2,1,1,1,4,1,39,1.25,6.75,1.095238095,1,1.5
169,2,2,2,2,2,3,1,2,1,2,2,1,3,2,2,2,3,3,1,1,2,2,2,1,2,1,2,2,5,2,5,5,5,5,3,3,3,3,2,2,2,4,3,3,3,2,2,2,2,2,19,1,33,2.875,5,1.857142857,2,2.416666667
170,3,2,2,3,4,4,1,2,1,3,3,3,3,3,2,2,3,3,2,4,2,3,3,2,3,2,2,4,5,4,4,4,4,4,3,4,6,5,3,1,1,4,4,4,4,4,3,5,4,4,6,2,24,4,4.25,2.571428571,2.8,3.416666667
171,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,5,2,6,5,3,6,2,3,3,3,1,2,1,2,2,2,2,1,1,2,2,2,11,2,27,2.625,5.5,1.047619048,1.4,1.666666667
172,2,2,1,1,2,3,4,2,2,2,1,3,3,4,2,2,2,2,2,1,2,1,2,1,2,2,5,5,5,5,7,5,6,3,3,3,6,6,3,3,2,2,4,3,4,2,3,4,2,4,5,1,31,4.875,5,2.142857143,1.6,3
173,2,3,1,3,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,2,6,2,6,7,3,5,2,5,3,3,2,3,1,1,1,1,1,1,1,1,2,1,11,1,39,2.875,6,1.333333333,2,1.333333333
174,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,1,7,7,5,7,3,3,3,2,3,1,4,4,1,2,3,1,1,1,1,1,4,1,23,2.875,6.75,1,2.2,1.916666667
175,3,4,4,3,5,4,3,4,3,3,3,2,3,4,4,3,4,4,3,3,4,4,3,3,3,4,6,7,5,5,5,6,5,6,3,6,6,5,2,1,1,3,3,2,3,3,3,4,5,5,8,2,36,5.375,5.5,3.380952381,3.8,2.916666667
176,5,5,4,4,3,3,1,2,2,1,3,3,2,3,2,4,3,3,1,2,2,2,4,3,3,2,5,3,4,4,2,3,6,4,4,6,3,5,4,2,3,3,2,3,4,2,2,3,4,3,5,1,31,4.5,3.25,2.428571429,4.2,2.916666667
177,1,3,1,2,1,2,1,2,1,2,2,1,2,2,3,3,2,3,3,2,2,2,2,2,2,3,2,3,5,3,7,6,5,5,3,4,5,2,1,1,1,2,1,1,2,3,1,3,3,3,3,1,63,3.375,5.75,2.095238095,1.6,1.833333333
178,4,2,2,4,3,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,7,6,7,7,5,5,5,4,4,3,1,1,1,4,3,2,4,3,1,2,3,3,13,2,52,4.625,6.5,1.142857143,3,2.333333333
179,4,4,4,3,2,2,2,3,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,5,3,6,5,6,5,3,2,2,2,1,1,1,4,2,1,1,1,1,1,1,1,4,1,64,2.75,5.25,1.571428571,3.4,1.333333333
180,4,5,5,4,5,3,1,2,1,2,3,1,2,1,2,2,2,2,3,1,2,1,3,1,2,2,5,5,3,4,3,3,6,4,3,6,4,4,3,3,2,5,3,4,5,4,4,5,4,3,5,2,42,4.625,3.25,1.857142857,4.6,3.75
181,4,2,4,2,5,2,3,3,1,4,2,1,2,3,3,3,2,4,2,2,3,3,3,1,2,4,6,5,4,5,5,5,3,5,6,3,7,6,2,4,4,2,1,2,4,2,1,4,4,4,9,1,22,5.125,4.75,2.523809524,3.4,2.833333333
182,2,3,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,5,1,5,6,5,5,3,4,1,3,1,1,1,2,1,1,1,1,1,2,2,1,12,1,55,2.625,5.25,1.142857143,2,1.25
183,2,3,2,3,3,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,5,3,5,5,6,5,3,6,3,5,1,1,1,4,2,2,2,2,2,1,1,1,15,1,39,4,5,1.19047619,2.6,1.666666667
184,3,2,1,5,3,3,2,2,1,2,1,3,2,1,2,3,3,3,2,1,1,2,2,1,2,2,3,5,4,5,6,3,4,3,3,6,3,3,1,1,1,2,1,1,1,1,1,1,4,3,5,1,48,4,4,1.952380952,2.8,1.5
185,1,3,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,3,7,7,1,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,35,1.625,6.75,1,2.8,1
186,3,4,3,4,3,2,1,2,1,3,2,1,3,2,1,2,2,2,2,1,2,1,1,1,1,1,4,4,4,4,4,4,5,4,4,5,4,4,1,1,1,2,2,2,3,2,1,1,2,2,16,1,43,4.25,4,1.619047619,3.4,1.666666667
187,1,6,1,6,1,3,1,1,1,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,4,1,5,5,5,5,1,3,5,4,1,3,1,1,1,1,4,1,4,4,4,3,10,2,37,3.625,4.75,1.333333333,3,2.333333333
188,1,1,1,1,1,3,3,2,1,1,2,3,1,2,2,2,3,2,3,2,2,4,3,1,2,2,6,1,6,5,7,6,3,4,4,1,5,5,1,1,1,3,2,1,1,1,1,1,1,1,17,2,77,3.75,5.75,2.19047619,1,1.25
189,3,3,4,3,4,2,2,2,1,3,2,2,2,2,3,3,3,3,2,2,2,3,2,3,2,3,5,5,3,4,4,4,5,3,5,5,5,5,1,3,1,3,3,2,2,1,1,3,3,3,4,2,27,4.875,3.5,2.333333333,3.4,2.166666667
190,1,3,1,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,4,6,6,3,6,3,3,3,2,1,1,1,1,1,1,1,1,1,1,3,3,18,1,45,2.75,6,1.142857143,2,1.333333333
191,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,3,5,6,3,5,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4,1,33,1.875,5.5,1,2,1.166666667
192,3,2,5,2,5,2,3,3,2,3,3,2,4,4,3,3,3,3,3,3,3,2,3,3,2,2,6,6,3,3,6,5,6,5,4,6,5,5,1,1,1,2,2,1,2,1,1,4,5,5,15,2,50,5.125,4.75,2.80952381,3.4,2.166666667
193,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,5,3,5,3,5,5,5,3,5,5,3,5,1,2,2,4,2,1,4,2,4,2,4,5,17,1,24,4.25,4.5,1.619047619,2,2.75
194,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,2,2,5,5,5,2,2,2,5,1,1,1,3,1,1,1,1,1,1,1,1,7,2,28,2.875,4.25,1,2,1.166666667
195,2,2,4,2,5,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,3,5,6,5,5,5,6,3,1,2,2,4,2,2,1,4,1,1,1,1,1,1,1,1,21,1,54,3.5,4.75,1.476190476,3,1.416666667
196,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,2,3,2,2,3,3,5,5,5,5,5,5,5,4,5,5,5,5,1,2,1,2,2,2,2,2,1,2,3,3,7,1,40,5,4.75,2.333333333,3,1.916666667
197,3,4,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,4,4,5,4,4,2,2,2,2,3,1,1,2,1,1,1,1,1,1,2,2,6,1,46,2.5,4.75,1,3,1.416666667
198,2,2,5,3,5,4,3,3,4,3,2,3,3,4,3,2,4,3,2,3,4,3,2,3,3,2,6,5,5,6,6,5,3,4,3,5,4,6,5,3,2,3,3,2,NA,2,3,3,4,3,17,1,54,4.75,5,3,3.4,3
199,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,6,6,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,18,2,50,1.125,5.75,1,1.4,1.25
200,3,3,4,2,2,4,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,5,2,6,1,6,6,5,5,2,2,5,5,1,4,1,1,1,1,1,1,1,1,2,4,12,2,32,3.375,5.75,1.380952381,2.8,1.583333333
201,5,1,3,1,5,4,3,2,4,2,4,3,4,3,4,2,3,4,2,4,3,2,4,3,3,3,5,7,4,5,6,2,6,4,6,6,5,6,2,3,3,3,4,4,3,4,4,5,3,4,2,1,34,5.75,4,3.142857143,3,3.5
